ESD_um,biovol_um3
1.0,0.5235987755982988
1.2599210498948732,1.0471975511965976
1.5874010519681994,2.094395102393195
2.0,4.1887902047863905
2.5198420997897464,8.377580409572781
3.1748021039363987,16.75516081914556
4.0,33.510321638291124
5.039684199579492,67.02064327658222
6.3496042078727974,134.04128655316447
8.0,268.082573106329
10.079368399158984,536.1651462126578
12.699208415745595,1072.3302924253157
16.0,2144.660584850632
20.158736798317967,4289.321169701262
25.398416831491183,8578.642339402519
32.0,17157.284678805056
40.317473596635935,34314.5693576101
50.796833662982365,68629.13871522015
64.0,137258.27743044044
80.63494719327187,274516.5548608808
101.59366732596473,549033.1097217612
128.0,1098066.2194435236
161.26989438654374,2196132.438887046
203.18733465192946,4392264.87777409
256.0,8784529.755548188
322.53978877308725,17569059.511096332
406.3746693038589,35138119.02219272
512.0,70276238.04438551
645.0795775461745,140552476.08877066
812.7493386077178,281104952.17754173
1024.0,562209904.3550841
1290.159155092349,1124419808.7101653
1625.4986772154357,2248839617.420334
2048.0,4497679234.8406725
2580.318310184698,8995358469.681322
3250.9973544308714,17990716939.36267
4096.0,35981433878.72538
5160.636620369396,71962867757.45058
6501.994708861743,143925735514.90137
8192.0,287851471029.80304
10321.273240738792,575702942059.6046
13003.989417723486,1151405884119.211
16384.0,2302811768238.4243
20642.546481477584,4605623536476.837
26007.97883544697,9211247072953.688
32768.0,18422494145907.395
41285.09296295517,36844988291814.695
52015.95767089394,73689976583629.5
65536.0,147379953167259.16
82570.18592591034,294759906334517.56
104031.91534178775,589519812669033.8
131072.0,1179039625338073.2
165140.37185182067,2358079250676140.5
208063.8306835755,4716158501352270.0
262144.0,9432317002704586.0
330280.74370364135,1.8864634005409124e+16
416127.661367151,3.772926801081816e+16
524288.0,7.545853602163669e+16
660561.4874072827,1.50917072043273e+17
832255.322734302,3.018341440865453e+17
1048576.0,6.036682881730935e+17
1321122.9748145654,1.207336576346184e+18
1664510.645468604,2.414673152692362e+18
2097152.0,4.829346305384748e+18
2642245.949629131,9.658692610769471e+18
3329021.290937208,1.9317385221538898e+19
4194304.0,3.8634770443077984e+19
5284491.899258262,7.726954088615577e+19
6658042.581874416,1.5453908177231118e+20
8388608.0,3.090781635446239e+20
10568983.798516523,6.181563270892462e+20
13316085.163748832,1.2363126541784895e+21
16777216.0,2.472625308356991e+21
21137967.597033046,4.945250616713969e+21
26632170.327497665,9.890501233427916e+21
33554432.0,1.978100246685593e+22
42275935.19406609,3.9562004933711755e+22
53264340.65499533,7.912400986742333e+22
